D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_37_939.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_37_939.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_37_939.jpg,0,0,0,0.9774562
D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_38_023.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_38_023.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_38_023.jpg,0,0,0,0.9695936
D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_38_106.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_38_106.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_38_106.jpg,0,0,0,0.9598542
D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_38_194.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_38_194.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_38_194.jpg,0,0,0,0.9521332
D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_38_282.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_38_282.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_38_282.jpg,0,0,0,0.9444743
D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_38_367.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_38_367.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_38_367.jpg,0,0,0,0.934987
D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_38_459.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_38_459.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_38_459.jpg,0.2,0,0,0.9260808
D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_38_555.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_38_555.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_38_555.jpg,0.45,0.2689953,0,1.136487
D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_38_644.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_38_644.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_38_644.jpg,0.6500001,0.538536,0,1.532546
D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_38_735.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_38_735.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_38_735.jpg,0.9000002,0.8078622,0,2.338959
D:\auto_files\Track_1\T1_backward\IMG\center_2023_12_30_11_04_38_822.jpg,D:\auto_files\Track_1\T1_backward\IMG\left_2023_12_30_11_04_38_822.jpg,D:\auto_files\Track_1\T1_backward\IMG\right_2023_12_30_11_04_38_822.jpg,1,1,0,3.202016
