D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_36_490.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_36_490.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_36_490.jpg,0,0,0,1.894084
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_36_566.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_36_566.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_36_566.jpg,0,0,0,1.878862
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_36_636.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_36_636.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_36_636.jpg,0,0,0,1.867526
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_36_714.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_36_714.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_36_714.jpg,0,0,0,1.852517
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_36_791.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_36_791.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_36_791.jpg,0,0,0,1.837629
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_36_869.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_36_869.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_36_869.jpg,0,0,0,1.822861
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_36_942.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_36_942.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_36_942.jpg,0,0,0,1.808212
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_37_014.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_37_014.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_37_014.jpg,0,0,0,1.797302
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_37_093.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_37_093.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_37_093.jpg,0,0,0,1.782857
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_37_169.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_37_169.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_37_169.jpg,0,0,0,1.768529
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_37_247.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_37_247.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_37_247.jpg,0,0,0,1.754317
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_37_319.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_37_319.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_37_319.jpg,0,0,0,1.740218
D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\center_2023_12_30_11_43_37_391.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\left_2023_12_30_11_43_37_391.jpg,D:\auto_files\Track_2\T2_center\T2_center_forward\IMG\right_2023_12_30_11_43_37_391.jpg,0,0,0,1.729718
